seconds,falls,reversals,attacks,dmgdealt,dmgtaken,score,times hit,times hit enemies
50,3,1,13,909.264,138.948,406.667,90,816
24,3,0,6,939.16,143.896,873.333,118,343
55,5,2,15,941.597,99.3103,1236.19,59,917
102,25,0,24,995.334,997.717,306.19,1050,601
81,14,1,32,1440.53,541.037,612.009,606,888
20,2,0,8,1344.56,84.5515,1017.56,72,470
86,5,1,23,1105.2,155.922,1339.57,243,1061
104,3,0,22,1243.92,169.677,1346.87,137,1172
30,5,0,12,438.857,265.469,1156.45,260,334
102,2,0,0,21,1242.11,5.12821,59,846
