seconds,falls,reversals,attacks,dmgdealt,dmgtaken,score,times hit,times hit enemies
120,11,0,30,1547.58,530.472,445.77,719,999
60,7,1,13,613.19,282.598,697.992,411,245
66,6,3,12,809.647,296.247,1173.55,435,839
78,12,2,21,1204.87,452.786,532.857,478,598
60,10,1,24,832.077,386.962,1039.52,458,529
63,4,0,11,764,183.797,302.222,201,355
100,10,0,1,35,1508.1,5.55556,635,1393
