seconds,falls,reversals,attacks,dmgdealt,dmgtaken,score,times hit,times hit enemies
121,9,0,23,1263.13,478.986,322.857,438,1119
68,1,0,5,669.841,40.2092,525.079,102,507
96,8,0,17,875.643,410.861,960.635,379,738
83,6,0,13,914.863,316.37,163.333,408,536
84,8,0,13,631.876,458.747,452.222,347,261
104,7,0,0,19,1190.3,7.40741,294,1328
