seconds,falls,reversals,attacks,dmgdealt,dmgtaken,score,times hit,times hit enemies
120,11,0,0,30,1547.58,44.4444,0,1718
60,7,0,1,13,613.19,13.3333,0,656
66,6,0,3,12,809.647,100,0,1274
78,12,0,2,21,1204.87,66.6667,0,1076
60,10,1,1,24,832.077,44.4444,0,987
63,4,0,0,11,764,13.3333,0,556
